,AdaptiveMA2008,CryptoBB2008,DividendPaydate2008,DynamicBreakout2008,FOMC2008,HedgeVIX2008,LumberGold2008,MultiVar2008,OptionSkewness2008,OvernightMomentum2008,SectorRotation2008,SimpleEMA2008,SPY2008,TScrossSecMom2008,VolatilityRiskPremium2008
120,107923.93,100000.0,100000.0,98436.3163,100000.0,100000.0,101280.29,101043.899916246,100000.0,87505.65349460651,100000.0,100000.0,90747.025848896,110480.90554885427,99546.23
121,108234.77,100000.0,100000.0,98436.3163,100000.0,100000.0,101816.65,101178.479980304,100000.0,87790.72095172005,100000.0,100000.0,90478.94327216,108704.90282045589,99546.23
122,107603.81,100000.0,100000.0,98436.3163,100000.0,100000.0,101804.99,101300.825493084,100000.0,89157.02587008347,100000.0,100000.0,91001.360601184,107909.61150644223,99546.23
123,110689.595,100000.0,100000.0,98436.3163,100000.0,100000.0,102353.01,101582.220172478,100000.0,89282.30929515063,100000.0,100000.0,88396.147868288,109916.27450837253,99546.23
124,111038.075,100000.0,100000.0,98343.523405,100000.0,100000.0,102794.575,101643.392928868,100000.0,88727.36088463108,100000.0,100000.0,88114.317467104,110829.86747654594,99546.23
125,110995.25,100000.0,100000.0,98402.103535,100000.0,100000.0,101692.825,101704.565685258,100000.0,89051.01801969738,100000.0,100000.0,88141.813116,111839.37980975551,99546.23
126,110527.61,100000.0,100000.0,98353.861075,100000.0,100000.0,101869.105,101678.800823316,100000.0,88561.21611311781,100000.0,100000.0,88506.130463872,111753.22313679404,99546.23
127,112489.03,100000.0,100000.0,97813.10248,100000.0,100000.0,98490.405,101700.771705596,100000.0,88645.63596545183,100000.0,100000.0,86925.130652352,110466.42716772103,99546.23
128,112450.63,100000.0,100000.0,97552.19938,100000.0,100000.0,97770.595,101847.975234716,100000.0,90105.58863852557,100000.0,100000.0,86973.24803792,110780.25699080699,99546.23
129,113376.23,100000.0,100000.0,97135.000555,100000.0,100000.0,96947.955,101909.310038516,100000.0,90881.15243630638,100000.0,100000.0,86251.4872544,111602.64719640408,99546.23
130,111386.24,100000.0,100000.0,97138.20031,100000.0,100000.0,100282.585,101921.576999276,100000.0,89017.0097406656,100000.0,100000.0,87756.874031456,107798.94016203439,99546.23
131,113855.84,100000.0,100000.0,97138.20031,100000.0,100000.0,97373.965,102093.314449916,100000.0,88384.72435618234,100000.0,100000.0,85797.809047616,109804.29221869685,99546.23
132,112980.92,100000.0,100000.0,97138.20031,100000.0,100000.0,98519.785,101970.644842316,100000.0,86708.98599459058,100000.0,100000.0,86450.830708896,113369.39125639491,99546.23
133,114213.59,100000.0,100000.0,97138.20031,100000.0,100000.0,99107.385,101762.106509396,100000.0,87737.33664506159,100000.0,100000.0,85515.978646432,115534.95077486381,99541.225
134,115331.31,100000.0,100000.0,97138.20031,100000.0,100000.0,97667.765,101995.178763836,100000.0,86525.8800594344,100000.0,100000.0,84691.109179552,118601.81551609978,98728.525
135,116604.9,100000.0,100000.0,97138.20031,100000.0,100000.0,97124.235,102142.382292956,100000.0,86146.45256662423,100000.0,100000.0,83735.635380416,117885.1281275414,97734.035
136,113688.885,100000.0,100000.0,97138.20031,100000.0,100000.0,100782.045,102056.513567636,100000.0,87589.49874540488,100000.0,100000.0,85825.304696512,111670.10886974137,100649.675
137,112345.535,100000.0,100000.0,97138.20031,100000.0,100000.0,102412.635,101897.043077756,100000.0,86473.52110676673,100000.0,100000.0,86808.274144544,106310.10804878036,101710.805
138,112313.06,100000.0,100000.0,97138.20031,100000.0,100000.0,101663.445,101713.038666356,100000.0,86357.97488017805,100000.0,100000.0,86822.021968992,104267.75763498929,101842.125
139,112241.86,100000.0,100000.0,97138.20031,100000.0,100000.0,102471.395,101762.106509396,100000.0,83931.78341106819,100000.0,100000.0,86870.13935456,106263.24678120938,58686.495
140,110719.96,100000.0,100000.0,97138.20031,100000.0,100000.0,105277.185,101676.237784076,100000.0,84282.4852928357,100000.0,100000.0,88038.70443264,101028.83239111434,103557.195
141,110247.81,100000.0,100000.0,97138.20031,100000.0,100000.0,105688.505,101639.436901796,100000.0,83621.6067158434,100000.0,100000.0,88403.021780512,96471.28244355689,103829.425
142,112629.185,100000.0,100000.0,97138.20031,100000.0,100000.0,103205.895,101884.776116996,100000.0,83507.85916171776,100000.0,100000.0,86485.200270016,99700.97931086586,102102.035
143,112378.735,100000.0,100000.0,97138.20031,100000.0,100000.0,104351.715,101774.373470156,100000.0,82494.05453103146,100000.0,100000.0,86684.543724512,101451.84707421111,102509.925
144,114302.985,100000.0,100000.0,97138.20031,100000.0,100000.0,102339.185,101982.911803076,100000.0,81118.92288186925,100000.0,100000.0,85199.778684128,104117.97170004582,100899.365
145,111806.89,100000.0,100000.0,97138.20031,100000.0,100000.0,104968.695,101897.043077756,100000.0,81569.92494137814,100000.0,100000.0,87062.608896832,99776.11094640153,103214.475
146,109843.675,100000.0,100000.0,97138.20031,100000.0,100000.0,105512.225,101946.110920796,100000.0,79943.90243196592,100000.0,100000.0,88561.121761664,101397.75230664463,104445.355
147,111230.095,100000.0,100000.0,97138.20031,100000.0,100000.0,104469.235,102130.115332196,100000.0,80502.72359628102,100000.0,100000.0,87461.295805824,99523.06754311935,103603.255
148,111874.1,100000.0,100000.0,97138.20031,100000.0,100000.0,105203.735,102149.806057486,100000.0,80557.22884664542,100000.0,100000.0,86952.626301248,98373.61351513615,103381.915
149,112916.57,100000.0,100000.0,97138.20031,100000.0,100000.0,103411.555,102122.669671171,100000.0,80464.37908546499,100000.0,100000.0,86134.630746592,95457.97844454907,102685.625
150,109772.845,100000.0,100000.0,97568.84627,100000.0,100000.0,105673.815,102073.444125911,100000.0,82017.18648344775,100000.0,100000.0,88540.500024992,91392.29064263111,104939.625
151,109211.37,100000.0,100000.0,97764.97715,100000.0,100000.0,106555.215,102085.750512226,100000.0,82374.89035474473,100000.0,100000.0,89001.052144,92950.87950656818,105364.595
152,111093.045,100000.0,100000.0,98958.60195,100000.0,100000.0,104968.695,102307.265465896,100000.0,83251.57579819328,100000.0,100000.0,87468.169718048,94898.71629288488,104573.665
153,108667.185,100000.0,100000.0,99329.07139,100000.0,100000.0,107583.515,102221.120761691,100000.0,82914.66497224753,100000.0,100000.0,89365.369491872,90099.31052625382,105633.325
