,ActiveCollar2007,AdaptiveMA2007,CryptoBB2007,DividendPaydate2007,DynamicBreakout2007,FOMC2007,HedgeVIX2007,LumberGold2007,MultiVar2007,OptionSkewness2007,OvernightMomentum2007,SectorRotation2007,SimpleEMA2007,SPY2007,TScrossSecMom2007,VolatilityRiskPremium2007
39,100000.0,102573.563595116,100000.0,100000.0,100000.0,100000.0,100000.0,100278.427125184,100691.933018608,100000.0,96657.07423726235,100000.0,100000.0,99783.60587348,101006.01035189547,102457.335
40,100000.0,102825.009241012,100000.0,100000.0,100000.0,100000.0,100000.0,100087.618501744,100843.679848726,100000.0,96570.81620742947,100000.0,100000.0,99543.906863424,101142.39330349,102457.335
41,100000.0,103987.42457732,100000.0,100000.0,100000.0,100000.0,100000.0,98077.767668176,100890.394857586,100000.0,96766.19738164244,100000.0,100000.0,98408.8615511,100710.77434165233,102457.335
42,100000.0,104922.019699696,100000.0,100000.0,99641.959,100000.0,100000.0,96246.004883152,100965.640868218,100000.0,96428.48293345695,100000.0,100000.0,97499.415307064,100030.45093600794,102457.335
43,100000.0,103323.456141032,100000.0,100000.0,99394.9626,100000.0,100000.0,98713.796412976,100877.853855814,100000.0,96300.14161017354,100000.0,100000.0,98986.959163588,100459.89976261996,102457.335
44,100000.0,103152.378653488,100000.0,100000.0,99626.392,100000.0,100000.0,98204.973417136,100978.18186999,100000.0,95981.56740129353,100000.0,100000.0,98747.260153532,99598.90264366374,102457.335
45,100000.0,103937.765592352,100000.0,100000.0,99500.2993,100000.0,100000.0,99019.09021048,100940.558864674,100000.0,95927.12691224499,100000.0,100000.0,99508.657009004,100716.44158757826,102457.335
46,100000.0,103986.470180416,100000.0,100000.0,99503.9316,100000.0,100000.0,99502.472056528,100802.607845182,100000.0,95559.82431786702,100000.0,100000.0,99565.056776076,100914.15086440885,102457.335
47,100000.0,104263.546297228,100000.0,100000.0,99569.8319,100000.0,100000.0,99985.853902576,100877.853855814,100000.0,95397.0119586569,100000.0,100000.0,99840.005640552,101447.79370887656,102457.335
48,100000.0,102146.40477394,100000.0,100000.0,99320.7599,100000.0,100000.0,97429.01834848,101015.804875306,100000.0,95318.0160322536,100000.0,100000.0,97823.713967728,101169.28018502877,102457.335
49,100000.0,101818.88507818,100000.0,100000.0,99261.0864,100000.0,100000.0,98344.899740992,101053.427880622,100000.0,95172.19010289831,100000.0,100000.0,98521.661085244,101165.21833321861,102457.335
50,100000.0,101495.815313176,100000.0,100000.0,98967.389,100000.0,100000.0,99311.663433088,101028.345877078,100000.0,95427.84596729842,100000.0,100000.0,98824.809833256,100976.16324348022,102457.335
51,100000.0,101876.861501376,100000.0,100000.0,98856.3444,100000.0,100000.0,98637.4729636,101015.804875306,100000.0,94878.94640884516,100000.0,100000.0,98443.312380964,101036.63602777963,101639.965
52,100000.0,100704.491590758,100000.0,100000.0,97985.6302,100000.0,100000.0,99718.72182976,100940.558864674,100000.0,94601.7108013548,100000.0,100000.0,99568.700627782,101511.10139719583,103013.845
53,100000.0,101296.120387118,100000.0,100000.0,97943.0804,100000.0,100000.0,100545.559198,101015.804875306,100000.0,94485.06880779717,100000.0,100000.0,100177.401188954,101831.13573100304,103730.865
54,100000.0,103005.731273038,100000.0,100000.0,97943.0804,100000.0,100000.0,102364.601408128,101128.673891254,100000.0,94405.4529621338,100000.0,100000.0,101876.100429434,102269.56820848072,104805.165
55,100000.0,102981.491932322,100000.0,100000.0,97943.0804,100000.0,100000.0,102402.763132816,101078.509884166,100000.0,93626.17985484407,100000.0,100000.0,101861.94460243,102610.26673639275,104720.525
56,100000.0,103107.710669124,100000.0,100000.0,97943.0804,100000.0,100000.0,102573.546132184,101040.88687885,100000.0,93804.32292899929,100000.0,100000.0,101996.424958968,102484.86709551436,104807.105
57,100000.0,103162.282702346,100000.0,100000.0,97943.0804,100000.0,100000.0,102522.56606272,101128.673891254,100000.0,93976.3426822413,100000.0,100000.0,102060.126180486,102352.29200961567,104960.485
